iter	Passed	Remaining
399	42562	63844
400	42678	63752
401	42786	63647
402	42898	63549
403	42996	63431
404	43104	63326
405	43213	63223
406	43318	63114
407	43429	63016
408	43535	62908
409	43637	62795
410	43736	62678
411	43833	62558
412	43936	62447
413	44038	62334
414	44140	62221
415	44242	62110
416	44344	61997
417	44452	61893
418	44554	61781
419	44655	61666
420	44757	61554
421	44864	61450
422	44969	61340
423	45083	61244
424	45192	61142
425	45303	61043
426	45406	60931
427	45515	60829
428	45622	60723
429	45731	60621
430	45843	60522
431	45951	60417
432	46058	60311
433	46168	60210
434	46279	60110
435	46388	60007
436	46499	59906
437	46610	59805
438	46725	59710
439	46831	59603
440	46940	59500
441	47046	59393
442	47162	59298
443	47273	59198
444	47391	59105
445	47500	59002
446	47608	58897
447	47719	58797
448	47835	58702
449	47946	58601
450	48050	58491
451	48152	58379
452	48255	58269
453	48362	58162
454	48461	58046
455	48564	57937
456	48673	57833
457	48783	57730
458	48882	57615
459	48987	57506
460	49091	57397
461	49221	57318
462	49330	57215
463	49432	57103
464	49536	56993
465	49638	56882
466	49737	56766
467	49841	56657
468	49949	56552
469	50048	56438
470	50151	56327
471	50254	56217
472	50364	56113
473	50477	56015
474	50586	55911
475	50688	55800
476	50797	55695
477	50899	55585
478	51010	55482
479	51119	55379
480	51227	55274
481	51345	55180
482	51455	55077
483	51557	54966
484	51668	54864
485	51783	54766
486	51894	54664
487	51996	54554
488	52110	54455
489	52220	54352
490	52327	54245
491	52436	54141
492	52543	54035
493	52653	53932
494	52758	53823
495	52857	53709
496	52956	53595
497	53068	53494
498	53183	53396
499	53285	53285
500	53402	53189
501	53516	53090
502	53618	52979
503	53728	52875
504	53843	52776
505	53958	52678
506	54055	52562
507	54163	52457
508	54278	52359
509	54386	52253
510	54496	52150
511	54607	52047
512	54718	51945
513	54827	51840
514	54929	51730
515	55032	51619
516	55143	51516
517	55247	51408
518	55358	51305
519	55472	51205
520	55582	51101
521	55685	50991
522	55795	50887
523	55905	50784
524	56004	50670
525	56113	50566
526	56221	50460
527	56334	50359
528	56456	50266
529	56566	50163
530	56680	50062
531	56779	49948
532	56880	49837
533	56991	49733
534	57099	49628
535	57200	49516
536	57306	49409
537	57414	49304
538	57511	49189
539	57610	49075
540	57716	48968
541	57826	48864
542	57936	48760
543	58034	48646
544	58133	48533
545	58243	48429
546	58345	48319
547	58458	48217
548	58565	48110
549	58675	48006
550	58778	47897
551	58892	47797
552	58999	47690
553	59113	47589
554	59224	47486
555	59337	47384
556	59445	47278
557	59544	47166
558	59644	47054
559	59758	46953
560	59871	46850
561	59981	46747
562	60094	46645
563	60204	46540
564	60311	46434
565	60416	46326
566	60524	46220
567	60634	46116
568	60744	46012
569	60856	45909
570	60968	45806
571	61081	45704
572	61193	45601
573	61298	45493
574	61406	45387
575	61518	45284
576	61629	45180
577	61732	45071
578	61833	44959
579	61938	44852
580	62044	44744
581	62150	44637
582	62257	44530
583	62366	44425
584	62469	44316
585	62584	44214
586	62692	44108
587	62795	43999
588	62906	43895
589	63022	43795
590	63134	43692
591	63242	43586
592	63350	43479
593	63456	43372
594	63562	43265
595	63673	43161
596	63780	43054
597	63891	42950
598	63999	42844
599	64100	42733
600	64205	42625
601	64309	42516
602	64418	42411
603	64527	42306
604	64638	42202
605	64748	42097
606	64853	41989
607	64964	41885
608	65074	41780
609	65189	41678
610	65305	41577
611	65419	41474
612	65532	41372
613	65642	41267
614	65760	41167
615	65870	41062
616	65974	40953
617	66075	40842
618	66188	40739
619	66306	40639
620	66410	40530
621	66509	40419
622	66615	40311
623	66720	40203
624	66820	40092
625	66920	39981
626	67034	39878
627	67147	39775
628	67253	39667
629	67354	39557
630	67474	39457
631	67579	39349
632	67678	39238
633	67774	39125
634	67881	39018
635	67987	38911
636	68086	38799
637	68186	38689
638	68295	38583
639	68394	38471
640	68496	38362
641	68599	38253
642	68713	38150
643	68818	38042
644	68927	37936
645	69042	37834
646	69150	37727
647	69262	37624
648	69376	37521
649	69490	37418
650	69599	37312
651	69710	37207
652	69822	37103
653	69927	36995
654	70035	36888
655	70150	36786
656	70252	36676
657	70357	36568
658	70463	36461
659	70565	36352
660	70668	36242
661	70774	36135
662	70875	36025
663	70976	35916
664	71078	35806
665	71181	35697
666	71285	35589
667	71384	35478
668	71495	35373
669	71595	35263
670	71696	35153
671	71795	35043
672	71901	34935
673	72010	34830
674	72126	34727
675	72235	34621
676	72341	34514
677	72444	34405
678	72555	34301
679	72655	34190
680	72767	34086
681	72879	33981
682	72982	33873
683	73082	33763
684	73190	33656
685	73291	33547
686	73399	33441
687	73511	33336
688	73616	33228
689	73727	33124
690	73846	33022
691	73951	32914
692	74052	32805
693	74167	32702
694	74276	32596
695	74384	32489
696	74497	32385
697	74597	32275
698	74706	32169
699	74816	32064
700	74929	31960
701	75035	31852
702	75143	31746
703	75252	31640
704	75358	31533
705	75457	31422
706	75564	31316
707	75677	31211
708	75784	31104
709	75885	30995
710	75987	30886
711	76088	30777
712	76188	30667
713	76292	30559
714	76393	30450
715	76494	30341
716	76611	30238
717	76711	30129
718	76818	30022
719	76922	29914
720	77020	29804
721	77131	29698
722	77237	29591
723	77347	29486
724	77462	29382
725	77572	29276
726	77677	29169
727	77792	29065
728	77909	28962
729	78017	28855
730	78128	28750
731	78237	28644
732	78358	28542
733	78461	28434
734	78573	28329
735	78691	28226
736	78806	28122
737	78912	28015
738	79025	27910
