iter	Accuracy	MultiClass
0	0.7801492885	1.253555368
1	0.7996267786	1.031327594
2	0.8286680662	0.8717708445
3	0.8257522743	0.7621015072
4	0.8453463961	0.6795327564
5	0.862724516	0.6087109245
6	0.8645906228	0.5547274991
7	0.8785864241	0.5084589822
8	0.8901329601	0.4680993173
9	0.896664334	0.4321415519
10	0.9019127595	0.4023208132
11	0.9072778167	0.38268541
12	0.914742244	0.3612301767
13	0.9181245626	0.341664323
14	0.922673198	0.3300115124
15	0.92628878	0.3196854801
16	0.9267553067	0.3087247417
17	0.9289713086	0.2969709459
18	0.9308374154	0.2874794079
19	0.9330534173	0.2768821515
20	0.9356193142	0.2689223511
21	0.9387683695	0.2619914754
22	0.9394681596	0.2536862247
23	0.9435502683	0.2416364444
24	0.9457662701	0.2317687015
25	0.9470492186	0.2269164104
26	0.9493818521	0.2208277657
27	0.9504315372	0.2132352091
28	0.9532306975	0.207923577
29	0.9561464894	0.2001712532
30	0.9577793329	0.1945162453
31	0.9605784931	0.1887431993
32	0.9608117565	0.1846231611
33	0.9620947049	0.1794151325
34	0.9641940751	0.1745166853
35	0.9660601819	0.1688781133
36	0.9676930254	0.1658900814
37	0.9695591323	0.1615305268
38	0.9709587124	0.1572933226
39	0.9728248192	0.1534996969
40	0.9741077677	0.1501943806
41	0.9750408211	0.1453362154
42	0.9752740844	0.1424800714
43	0.9758572428	0.140540926
44	0.977256823	0.1366799151
45	0.9781898764	0.1336263896
46	0.9795894565	0.1305241479
47	0.9795894565	0.1279712148
48	0.9802892466	0.1248781897
49	0.9811056683	0.1223597686
50	0.98192209	0.1191114117
51	0.9830884068	0.1164956094
52	0.9835549335	0.1140344829
53	0.9840214602	0.1122497607
54	0.9850711453	0.1091407205
55	0.9860041987	0.1073040301
56	0.9862374621	0.1051041333
57	0.9870538838	0.1034471574
58	0.9876370422	0.1017734312
59	0.9872871472	0.09964473831
60	0.9886867273	0.0978611562
61	0.989153254	0.09586304203
62	0.9896197807	0.09458863262
63	0.9895031491	0.09299180188
64	0.9892698857	0.09141612375
65	0.9907860975	0.08892432466
66	0.9919524143	0.08706455941
67	0.9919524143	0.08543999043
68	0.9919524143	0.08435372544
69	0.9923023093	0.08289552367
70	0.9926522043	0.08119583788
71	0.992768836	0.07983539087
72	0.9932353627	0.07815531685
73	0.9937018894	0.0772112259
74	0.9938185211	0.07571310092
75	0.9940517845	0.07482097668
76	0.9942850478	0.07365319074
77	0.9946349429	0.07222817048
78	0.9949848379	0.0711043835
79	0.9948682062	0.07008260313
80	0.9948682062	0.06940139529
81	0.9952181012	0.0686623072
82	0.9951014696	0.06804569113
83	0.9951014696	0.06663984265
84	0.9952181012	0.06579942897
85	0.9955679963	0.06487869828
86	0.9956846279	0.06403925388
87	0.9958012596	0.0628608204
88	0.9956846279	0.06196951264
89	0.9958012596	0.06067788384
90	0.9962677863	0.05998315799
91	0.9962677863	0.0591756057
92	0.9966176814	0.05812642457
93	0.996734313	0.05719445884
94	0.9969675764	0.05641227884
95	0.9969675764	0.05540188141
96	0.9974341031	0.05442780773
97	0.9977839981	0.05363459179
98	0.9977839981	0.05313642775
99	0.9979006298	0.05235252806
100	0.9979006298	0.05155942548
101	0.9979006298	0.05103845869
102	0.9982505248	0.04989703553
103	0.9984837882	0.04939110049
104	0.9984837882	0.04890399162
105	0.9987170516	0.04844998054
106	0.9987170516	0.04794345266
107	0.9986004199	0.04724651603
108	0.9986004199	0.0469100342
